draw_id,date,n1,n2,n3,n4,n5,n6,strong
3828,19/07/2025,3,13,21,27,30,36,7
3827,15/07/2025,20,21,27,29,30,33,3
3826,12/07/2025,9,20,22,35,36,37,2
3825,08/07/2025,10,11,16,17,20,28,1
3824,05/07/2025,6,8,14,16,20,25,1
3823,03/07/2025,2,9,12,24,27,32,5
3822,01/07/2025,3,15,18,26,28,36,6
3821,28/06/2025,3,15,17,22,31,33,6
3820,21/06/2025,10,12,13,19,20,27,7
3819,12/06/2025,2,4,9,24,26,35,2
3818,10/06/2025,1,4,8,14,25,31,4
3817,07/06/2025,1,7,14,17,21,37,7
3816,03/06/2025,4,7,10,11,16,24,7
3815,31/05/2025,8,14,17,18,25,32,6
3814,27/05/2025,1,5,15,18,24,32,3
3813,24/05/2025,1,19,23,28,35,36,5
3812,20/05/2025,1,10,16,18,28,35,7
3811,17/05/2025,8,13,14,22,25,28,4
3810,15/05/2025,4,5,6,21,22,24,5
3809,13/05/2025,5,8,21,23,29,35,7
3808,10/05/2025,1,15,27,28,31,37,2
3807,06/05/2025,1,3,8,27,29,31,6
3806,03/05/2025,1,7,23,29,32,35,6
3805,28/04/2025,2,8,13,21,28,35,5
3804,26/04/2025,4,6,11,16,21,30,3
3803,22/04/2025,6,18,22,30,32,37,6
3802,19/04/2025,14,21,24,34,35,37,6
3801,15/04/2025,1,2,11,15,21,33,5
3800,13/04/2025,4,10,14,29,36,37,7
3799,10/04/2025,1,4,21,22,28,29,5
3798,08/04/2025,12,22,23,25,28,33,6
3797,05/04/2025,2,18,20,21,26,34,1
3796,01/04/2025,11,16,18,31,34,37,4
3795,29/03/2025,4,5,11,18,19,27,1
3794,25/03/2025,6,13,18,20,22,28,5
3793,22/03/2025,1,3,8,14,17,33,2
3792,20/03/2025,2,8,11,21,25,34,2
3791,18/03/2025,10,11,23,26,29,34,1
3790,15/03/2025,4,7,9,10,12,27,7
3789,11/03/2025,3,5,14,19,22,27,2
3788,08/03/2025,1,4,16,26,27,34,2
3787,04/03/2025,11,15,21,22,28,29,1
3786,01/03/2025,15,17,21,30,34,37,7
3785,25/02/2025,2,3,7,10,14,18,1
3784,22/02/2025,3,7,8,21,24,35,2
3783,18/02/2025,3,14,25,29,30,31,6
3782,15/02/2025,12,13,21,23,24,33,3
3781,13/02/2025,2,11,17,18,25,34,4
3780,11/02/2025,10,20,26,28,30,33,3
3779,08/02/2025,1,5,24,27,28,31,4
3778,04/02/2025,2,9,12,15,19,37,7
3777,01/02/2025,7,24,25,27,30,35,7
3776,28/01/2025,2,11,17,19,20,31,6
3775,25/01/2025,5,8,14,15,26,31,1
3774,21/01/2025,4,13,16,30,32,37,1
3773,18/01/2025,2,15,19,23,26,37,4
3772,16/01/2025,11,14,23,24,34,35,3
3771,14/01/2025,1,6,12,18,31,34,3
3770,11/01/2025,2,21,25,32,34,35,6
3769,07/01/2025,4,5,20,23,33,35,5
3768,04/01/2025,6,17,21,22,28,33,5
3767,31/12/2024,1,4,12,15,32,33,4
3766,28/12/2024,6,13,15,24,30,34,7
3765,26/12/2024,3,7,10,12,15,36,7
3764,24/12/2024,14,18,22,26,29,35,5
3763,21/12/2024,9,21,26,27,31,34,5
3762,17/12/2024,2,3,6,10,27,32,2
3761,14/12/2024,10,24,28,31,36,37,6
3760,10/12/2024,4,5,11,20,27,32,7
3759,07/12/2024,11,15,16,22,24,37,1
3758,03/12/2024,2,7,9,19,20,35,7
3757,30/11/2024,3,7,10,13,25,33,6
3756,26/11/2024,3,7,24,28,30,34,1
3755,23/11/2024,4,16,17,24,33,35,5
3754,21/11/2024,1,6,16,23,26,27,2
3753,19/11/2024,12,14,18,21,22,29,4
3752,16/11/2024,4,5,9,10,21,26,2
3751,12/11/2024,1,3,9,12,29,36,3
3750,09/11/2024,3,7,9,11,23,34,4
3749,05/11/2024,1,11,27,32,35,36,3
3748,02/11/2024,5,6,13,25,28,36,7
3747,31/10/2024,14,21,23,26,28,30,5
3746,29/10/2024,3,15,21,23,27,30,1
3745,26/10/2024,19,21,29,30,34,35,2
3744,22/10/2024,11,21,23,24,27,37,5
3743,19/10/2024,1,9,15,18,35,37,6
3742,15/10/2024,6,10,12,20,28,35,5
3741,13/10/2024,6,7,11,24,27,35,3
3740,08/10/2024,2,3,7,8,9,25,3
3739,06/10/2024,6,15,19,25,28,29,7
3738,01/10/2024,3,9,11,17,19,23,6
3737,28/09/2024,20,21,22,31,33,37,4
3736,26/09/2024,7,9,10,16,21,36,2
3735,24/09/2024,5,17,23,26,33,37,1
3734,21/09/2024,5,11,14,15,23,35,3
3733,17/09/2024,8,24,26,28,29,35,5
3732,14/09/2024,8,20,24,30,32,34,2
3731,12/09/2024,9,12,18,24,30,34,4
3730,10/09/2024,6,12,17,18,27,36,6
3729,07/09/2024,1,3,5,21,25,30,7
3728,03/09/2024,1,3,8,23,26,34,5
3727,31/08/2024,1,3,11,25,30,33,7
3726,27/08/2024,4,8,18,23,35,36,3
3725,24/08/2024,15,24,26,28,30,36,2
3724,22/08/2024,2,6,11,15,23,33,5
3723,20/08/2024,11,13,18,23,24,30,4
3722,17/08/2024,9,22,23,24,25,29,3
3721,13/08/2024,2,12,13,19,21,34,7
3720,10/08/2024,7,8,19,27,30,35,5
3719,06/08/2024,4,14,22,27,30,33,6
3718,03/08/2024,2,12,16,17,26,32,6
3717,30/07/2024,6,16,20,21,22,34,5
3716,27/07/2024,13,16,18,19,29,37,7
3715,25/07/2024,4,22,26,27,32,36,5
3714,23/07/2024,4,7,10,21,27,28,6
3713,20/07/2024,3,6,19,24,29,37,1
3712,16/07/2024,12,19,30,32,34,35,5
3711,13/07/2024,7,10,17,29,33,35,3
3710,11/07/2024,4,10,19,20,25,28,3
3709,09/07/2024,6,11,12,19,34,36,2
3708,06/07/2024,2,11,14,26,27,30,5
3707,02/07/2024,1,3,20,26,29,34,1
3706,29/06/2024,1,7,12,14,22,26,1
3705,25/06/2024,11,16,24,25,35,36,6
3704,22/06/2024,10,12,14,27,28,31,7
3703,20/06/2024,2,10,23,28,29,37,2
3702,18/06/2024,7,9,25,30,34,36,7
3701,15/06/2024,13,18,26,27,31,35,2
3700,13/06/2024,3,7,10,11,30,35,1
3699,08/06/2024,5,9,27,29,32,36,4
3698,04/06/2024,1,2,22,31,34,37,2
3697,01/06/2024,7,10,14,27,32,35,6
3696,28/05/2024,4,5,7,18,21,30,6
3695,25/05/2024,13,15,19,21,31,33,7
3694,23/05/2024,4,10,17,19,30,37,5
3693,21/05/2024,15,26,27,28,32,36,6
3692,18/05/2024,2,4,19,25,32,34,1
3691,15/05/2024,6,20,22,27,30,32,2
3690,11/05/2024,5,11,14,18,24,28,4
3689,07/05/2024,6,13,17,25,29,37,5
3688,04/05/2024,14,16,22,24,27,33,6
3687,30/04/2024,5,9,22,23,24,25,4
3686,27/04/2024,1,2,3,6,21,24,1
3685,23/04/2024,1,8,12,19,31,34,4
3684,20/04/2024,1,2,10,14,22,34,5
3683,16/04/2024,1,20,21,23,25,35,5
3682,13/04/2024,1,10,23,24,25,37,1
3681,11/04/2024,13,20,25,27,33,37,3
3680,09/04/2024,1,11,13,18,22,29,4
3679,06/04/2024,9,15,16,27,28,34,5
3678,02/04/2024,2,8,15,24,26,28,4
3677,30/03/2024,7,18,22,27,33,35,2
3676,26/03/2024,1,3,4,20,26,35,1
3675,23/03/2024,1,10,17,21,31,35,2
3674,19/03/2024,13,17,21,24,27,36,2
3673,16/03/2024,18,20,27,28,35,36,4
3672,14/03/2024,4,7,18,19,24,32,5
3671,12/03/2024,1,2,4,6,7,21,1
3670,09/03/2024,5,15,20,21,25,30,6
3669,05/03/2024,18,19,26,30,33,36,5
3668,02/03/2024,1,11,13,24,27,32,2
3667,27/02/2024,16,18,20,21,23,37,2
3666,24/02/2024,10,16,20,24,31,32,2
3665,20/02/2024,12,25,27,29,33,34,3
3664,17/02/2024,6,8,13,27,33,34,7
3663,15/02/2024,1,4,18,22,26,34,2
3662,13/02/2024,1,15,19,21,24,34,3
3661,10/02/2024,20,23,26,27,30,34,6
3660,06/02/2024,1,8,9,16,33,34,7
3659,03/02/2024,1,3,11,19,32,35,1
3658,30/01/2024,7,10,11,21,25,26,6
3657,27/01/2024,1,17,18,21,34,36,1
3656,25/01/2024,3,7,11,16,22,33,3
3655,23/01/2024,9,13,30,33,34,35,2
3654,20/01/2024,3,5,22,28,35,36,6
3653,16/01/2024,8,12,13,24,25,29,5
3652,13/01/2024,3,9,11,13,23,25,3
3651,09/01/2024,14,17,21,24,25,30,4
3650,06/01/2024,2,5,8,9,10,26,3
3649,02/01/2024,5,9,12,21,22,28,1
3648,30/12/2023,4,8,12,27,33,37,5
3647,26/12/2023,1,3,5,15,29,35,4
3646,23/12/2023,2,7,11,19,22,29,6
3645,19/12/2023,3,5,21,23,34,36,7
3644,16/12/2023,4,7,11,22,28,31,5
3643,12/12/2023,3,11,12,17,19,29,4
3642,07/12/2023,1,8,11,21,27,29,2
3641,05/12/2023,1,7,9,18,28,37,3
3640,30/11/2023,7,17,19,22,28,31,7
3639,28/11/2023,11,13,23,31,32,37,4
3638,23/11/2023,8,20,27,28,32,35,2
3637,21/11/2023,3,4,7,11,30,31,7
3636,16/11/2023,10,11,17,24,30,37,1
3635,14/11/2023,8,19,20,22,23,35,7
3634,09/11/2023,9,15,19,25,31,34,3
3633,07/11/2023,5,10,28,30,32,36,3
3632,02/11/2023,10,14,20,33,34,35,1
3631,31/10/2023,7,8,16,31,34,35,6
3630,26/10/2023,1,12,18,26,30,33,1
3629,24/10/2023,2,4,9,19,24,37,4
3628,03/10/2023,6,11,20,21,25,37,6
3627,30/09/2023,1,5,9,13,29,33,6
3626,26/09/2023,9,11,12,20,23,34,2
3625,23/09/2023,11,13,16,21,25,35,2
3624,19/09/2023,8,10,12,23,25,31,5
3623,17/09/2023,1,9,12,13,14,22,1
3622,12/09/2023,4,23,25,31,33,36,4
3621,09/09/2023,13,17,24,30,35,37,4
3620,07/09/2023,7,17,19,25,35,37,6
3619,05/09/2023,2,3,5,9,36,37,3
3618,02/09/2023,4,12,22,27,30,34,2
3617,29/08/2023,6,8,15,19,26,31,5
3616,26/08/2023,6,7,14,21,25,34,4
3615,22/08/2023,2,6,10,23,24,29,5
3614,19/08/2023,11,12,14,15,16,27,1
3613,15/08/2023,2,16,17,29,32,35,6
3612,12/08/2023,6,18,23,25,27,35,1
3611,10/08/2023,7,17,25,27,29,36,4
3610,08/08/2023,3,9,12,21,26,30,1
3609,05/08/2023,15,18,22,24,31,33,1
3608,01/08/2023,3,12,13,14,23,37,4
3607,29/07/2023,2,8,9,13,28,31,6
3606,25/07/2023,5,10,11,23,35,37,7
3605,22/07/2023,2,4,18,22,29,30,2
3604,18/07/2023,7,8,11,17,18,34,3
3603,15/07/2023,10,11,27,28,30,31,1
3602,13/07/2023,7,9,17,29,30,33,7
3601,11/07/2023,7,12,13,27,34,36,4
3600,08/07/2023,7,11,12,21,36,37,5
3599,04/07/2023,1,16,17,20,21,27,2
3598,01/07/2023,8,9,19,24,29,34,1
3597,27/06/2023,7,8,9,19,21,33,4
3596,24/06/2023,1,13,14,23,29,33,1
3595,22/06/2023,8,14,18,21,28,30,3
3594,20/06/2023,5,6,8,13,25,27,4
3593,17/06/2023,9,11,18,24,25,27,6
3592,13/06/2023,1,4,16,26,29,35,2
3591,10/06/2023,4,13,19,22,26,31,4
3590,06/06/2023,4,9,13,14,15,37,3
3589,03/06/2023,9,16,19,23,24,35,4
3588,01/06/2023,9,20,21,24,27,31,2
3587,30/05/2023,4,5,12,22,27,29,5
3586,27/05/2023,1,3,5,19,31,36,1
3585,23/05/2023,15,16,24,25,26,32,2
3584,20/05/2023,4,7,15,30,31,35,2
3583,16/05/2023,2,7,8,9,10,25,6
3582,13/05/2023,11,13,16,20,29,37,3
3581,11/05/2023,2,3,14,31,35,37,4
3580,09/05/2023,7,12,16,26,28,30,5
3579,06/05/2023,2,3,9,10,16,20,6
3578,02/05/2023,4,10,14,29,33,35,2
3577,29/04/2023,1,8,11,25,31,33,7
3576,27/04/2023,4,10,11,26,29,37,2
3575,22/04/2023,5,12,14,23,25,29,4
3574,18/04/2023,2,5,9,11,26,29,7
3573,15/04/2023,2,4,12,22,27,36,3
3572,13/04/2023,1,3,4,19,20,34,5
3571,08/04/2023,3,10,20,31,32,36,4
3570,04/04/2023,2,5,9,10,14,35,5
3569,01/04/2023,8,11,22,25,30,32,5
3568,28/03/2023,8,12,14,25,29,32,1
3567,25/03/2023,3,12,13,16,17,25,6
3566,23/03/2023,5,11,22,23,31,36,5
3565,21/03/2023,5,14,18,21,32,34,5
3564,18/03/2023,14,15,19,23,24,30,1
3563,14/03/2023,1,5,10,12,20,32,5
3562,11/03/2023,3,9,15,19,21,23,7
3561,07/03/2023,9,11,12,19,21,30,6
3560,04/03/2023,4,5,15,17,25,31,5
3559,28/02/2023,3,7,12,13,23,35,6
3558,25/02/2023,10,22,24,27,29,34,7
3557,21/02/2023,3,7,11,21,35,36,2
3556,18/02/2023,7,10,11,22,31,32,6
3555,14/02/2023,2,10,12,19,23,34,5
3554,11/02/2023,12,27,29,30,33,34,4
3553,07/02/2023,5,6,10,17,24,27,2
3552,04/02/2023,5,6,12,14,34,35,7
3551,31/01/2023,1,11,23,25,32,33,1
3550,28/01/2023,1,12,18,28,29,33,1
3549,24/01/2023,3,16,20,28,34,36,3
3548,21/01/2023,6,7,9,18,21,31,7
3547,17/01/2023,1,5,9,12,18,36,6
3546,14/01/2023,4,5,9,18,19,35,2
3545,10/01/2023,1,26,28,31,34,36,3
3544,07/01/2023,10,14,17,20,31,36,5
3543,03/01/2023,2,6,29,30,31,32,2
3542,31/12/2022,4,8,17,20,24,32,3
3541,27/12/2022,6,7,14,27,31,32,6
3540,24/12/2022,6,17,24,25,30,34,7
3539,20/12/2022,6,8,13,20,34,35,6
3538,17/12/2022,6,11,15,16,17,22,7
3537,15/12/2022,6,14,20,28,33,34,7
3536,13/12/2022,7,11,30,31,33,35,6
3535,10/12/2022,13,22,25,26,33,37,3
3534,06/12/2022,3,6,14,19,34,35,3
3533,03/12/2022,4,16,26,29,35,37,6
3532,01/12/2022,5,18,19,23,24,35,2
3531,29/11/2022,4,5,6,25,26,28,7
3530,26/11/2022,2,5,9,12,15,16,4
3529,22/11/2022,11,17,25,26,27,32,4
3528,19/11/2022,10,13,16,29,30,35,4
3527,17/11/2022,3,12,13,16,29,34,1
3526,15/11/2022,4,9,10,15,26,27,2
3525,12/11/2022,4,9,17,25,33,37,6
3524,08/11/2022,4,5,6,31,33,36,7
3523,05/11/2022,6,9,22,25,31,34,4
3522,01/11/2022,2,3,4,5,11,15,3
3521,29/10/2022,2,5,15,24,32,33,3
3520,27/10/2022,12,13,22,25,28,36,2
3519,25/10/2022,5,7,10,16,31,32,4
3518,22/10/2022,5,11,13,19,32,37,5
3517,18/10/2022,5,7,13,17,25,32,4
3516,15/10/2022,3,15,17,21,26,29,6
3515,11/10/2022,5,16,18,26,29,35,4
3514,08/10/2022,2,12,14,15,33,37,3
3513,06/10/2022,5,6,11,18,19,35,2
3512,01/10/2022,9,17,20,21,30,33,7
3511,29/09/2022,6,21,24,27,28,37,6
3510,24/09/2022,4,10,11,13,20,32,1
3509,20/09/2022,1,15,17,29,33,34,2
3508,17/09/2022,9,11,14,20,31,33,1
3507,15/09/2022,6,7,15,19,27,33,7
3506,13/09/2022,2,7,10,13,25,34,6
3505,10/09/2022,2,7,14,17,19,28,4
3504,06/09/2022,3,20,23,25,32,35,5
3503,03/09/2022,1,9,13,20,22,36,5
3502,30/08/2022,9,12,17,18,20,36,7
3501,27/08/2022,9,16,22,27,30,34,6
3500,23/08/2022,2,6,14,17,25,33,3
3499,20/08/2022,8,13,16,19,23,36,1
3498,16/08/2022,1,11,15,19,21,32,2
3497,13/08/2022,14,18,21,27,28,34,3
3496,09/08/2022,6,9,12,14,25,29,7
3495,07/08/2022,8,19,25,30,31,36,2
3494,02/08/2022,6,8,9,20,23,28,7
3493,30/07/2022,7,13,24,26,35,37,7
3492,28/07/2022,2,15,17,27,34,37,1
3491,26/07/2022,11,12,13,16,34,36,6
3490,23/07/2022,7,13,19,21,25,37,6
3489,19/07/2022,4,8,9,10,15,24,7
3488,16/07/2022,1,7,8,11,12,25,2
3487,14/07/2022,6,12,15,19,26,27,4
3486,12/07/2022,9,14,15,23,27,33,2
3485,09/07/2022,1,12,15,19,27,31,4
3484,05/07/2022,1,15,16,31,32,33,2
3483,02/07/2022,2,4,12,14,26,37,4
3482,28/06/2022,1,4,7,21,22,36,6
3481,25/06/2022,12,17,26,28,32,35,1
3480,21/06/2022,4,6,7,12,17,27,7
3479,18/06/2022,1,4,9,12,30,31,3
3478,16/06/2022,1,7,10,13,29,36,2
3477,14/06/2022,3,5,6,10,15,36,3
3476,11/06/2022,7,8,20,31,36,37,4
3475,07/06/2022,3,6,13,23,25,29,5
3474,02/06/2022,11,24,25,27,29,32,3
3473,31/05/2022,2,5,10,19,27,36,1
3472,28/05/2022,1,2,8,19,31,33,7
3471,24/05/2022,6,10,13,20,23,35,7
3470,21/05/2022,3,4,5,15,24,33,6
3469,19/05/2022,1,8,18,25,29,30,1
3468,17/05/2022,1,4,5,24,31,32,6
3467,14/05/2022,9,16,17,21,26,29,6
3466,10/05/2022,17,19,21,23,25,34,7
3465,07/05/2022,3,13,21,24,27,35,2
3464,02/05/2022,1,14,15,17,28,37,1
3463,30/04/2022,8,9,10,18,29,32,2
3462,26/04/2022,7,10,11,19,22,29,6
3461,24/04/2022,10,13,17,22,29,35,3
3460,19/04/2022,2,3,5,8,14,19,7
3459,16/04/2022,6,7,14,19,20,23,6
3458,12/04/2022,9,15,17,23,26,29,3
3457,09/04/2022,2,12,19,29,30,33,1
3456,07/04/2022,15,20,27,29,36,37,7
3455,05/04/2022,7,14,15,20,27,36,5
3454,02/04/2022,1,3,9,26,29,34,1
3453,29/03/2022,1,3,5,11,25,31,1
3452,26/03/2022,1,11,12,13,18,36,2
3451,22/03/2022,2,16,26,27,33,35,7
3450,19/03/2022,9,10,18,19,29,35,7
3449,17/03/2022,8,18,21,23,33,36,1
3448,15/03/2022,3,9,16,27,34,37,7
3447,12/03/2022,1,4,16,21,22,35,7
3446,08/03/2022,1,2,4,8,18,21,5
3445,05/03/2022,10,12,19,23,27,30,3
3444,01/03/2022,7,16,20,30,32,33,5
3443,26/02/2022,1,22,27,30,31,37,3
3442,22/02/2022,14,22,25,28,33,34,6
3441,19/02/2022,9,12,15,25,29,30,5
3440,15/02/2022,4,8,11,12,15,25,2
3439,12/02/2022,2,5,12,15,16,34,4
3438,10/02/2022,3,9,10,16,27,31,5
3437,08/02/2022,2,15,17,18,31,33,1
3436,05/02/2022,6,7,16,30,32,36,3
3435,01/02/2022,2,6,9,11,33,37,1
3434,29/01/2022,3,5,7,23,26,36,1
3433,25/01/2022,3,24,26,27,32,37,5
3432,22/01/2022,8,16,18,19,35,36,6
3431,18/01/2022,8,17,21,27,33,34,3
3430,15/01/2022,7,12,17,19,36,37,3
3429,13/01/2022,1,5,10,11,23,34,5
3428,11/01/2022,8,9,30,31,33,36,4
3427,08/01/2022,7,10,12,15,18,34,3
3426,04/01/2022,1,6,9,12,28,29,7
3425,01/01/2022,4,8,9,28,33,37,2
3424,28/12/2021,6,8,14,15,23,36,1
3423,25/12/2021,16,20,21,23,34,36,7
3422,21/12/2021,4,24,28,30,32,34,1
3421,18/12/2021,1,5,10,13,30,33,1
3420,16/12/2021,6,13,15,20,29,31,5
3419,14/12/2021,6,8,10,12,25,34,4
3418,11/12/2021,12,15,17,20,21,23,1
3417,07/12/2021,5,11,13,18,32,37,1
3416,04/12/2021,15,20,23,26,28,37,3
3415,02/12/2021,3,15,19,26,27,31,6
3414,30/11/2021,3,4,19,27,32,33,5
3413,27/11/2021,8,17,22,24,28,33,1
3412,23/11/2021,8,15,16,23,27,33,2
3411,20/11/2021,13,18,20,23,26,36,1
3410,18/11/2021,4,9,20,23,32,37,2
3409,16/11/2021,7,9,17,20,22,26,4
3408,13/11/2021,2,9,13,31,34,37,2
3407,09/11/2021,6,9,19,21,28,36,7
3406,06/11/2021,7,8,21,24,26,30,5
3405,04/11/2021,1,4,15,26,33,37,5
3404,02/11/2021,2,6,10,12,24,31,1
3403,30/10/2021,1,2,17,19,36,37,4
3402,26/10/2021,14,17,27,29,33,35,3
3401,23/10/2021,7,16,17,22,26,29,5
3400,19/10/2021,7,12,24,28,32,34,5
3399,16/10/2021,5,10,14,20,23,28,4
3398,14/10/2021,8,16,17,20,29,30,5
3397,12/10/2021,7,11,22,28,31,32,3
3396,09/10/2021,7,20,24,26,33,36,4
3395,05/10/2021,4,10,11,14,15,33,3
3394,02/10/2021,10,12,13,17,30,31,7
3393,29/09/2021,3,5,8,9,19,36,2
3392,25/09/2021,11,14,16,30,32,35,2
3391,22/09/2021,4,6,12,20,31,36,6
3390,18/09/2021,8,26,28,29,33,35,6
3389,14/09/2021,4,8,24,25,30,31,7
3388,11/09/2021,15,19,21,30,32,35,5
3387,09/09/2021,1,3,9,23,25,27,1
3386,04/09/2021,2,6,12,13,26,37,3
